flight_id,aircraft_id,reg,equip,callsign,flight,schd_from,schd_to,real_to,reserved
44116799,4344133,VQ-BEH,A320,AFL1274,SU1274,SVO,KRR,KRR,
44122261,3425360,EC-LXA,A333,AEA51,UX51,MAD,HAV,HAV,
44106856,11176066,N778UA,B772,UAL944,UA944,ORD,FRA,FRA,
44106844,14978793,PR-GRO,SR22,PRGRO,,VCP,,,
44106594,12584271,C-FCAG,B763,ACA63,AC63,YVR,ICN,ICN,
44106391,11175065,N777SA,B77F,SOO96,9S96,HKG,,,
44106736,9003012,A6-EHH,A346,ETD18,EY18,LHR,AUH,AUH,
44106659,12586874,C-FFWJ,A320,ACA798,AC798,LAX,YUL,YUL,
44106445,4197493,G-MRJK,A320,MON897,ZB897,TFS,LTN,LTN,
44106749,15204876,CC-CQL,A319,LPE2443,LP2443,LIM,,,
44106433,10560607,N173AN,B752,AAL1556,AA1556,MIA,,,
44106581,0,,C56X,C56X,,,,,
44073695,5312576,ES-YLZ,L39,LION39,,,,,
44122223,,N228PQ,CRJ9,ASQ5129,EV5129,ORF,LGA,LGA,
44074004,5024411,EI-EJP,A332,AZA610,AZ610,FCO,JFK,JFK,
44106498,,N689EC,E145,EGF3688,MQ3688,ORD,CHA,CHA,
44122269,852877,XA-VOA,A319,VOI915,Y4915,LAX,GDL,GDL,
44074074,0,,C510,C510,,,,,
44106541,434334,A7-AHW,A320,QTR122,QR122,MXP,DOH,DOH,
44106824,65565,SU-GCL,A320,MSR618,MS618,HBE,KWI,KWI,
44106709,11121385,N724FD,A30B,FDX5198,FX5198,CAN,,,
44106782,,N339AA,B762,AAL4,AA4,LAX,JFK,JFK,
44106807,10600506,N21144,E145,BTA4316,,,,,
44106377,10549451,N16170,E145,BTA4181,,,,,
44074017,4739072,PH-BVK,B77W,KLM867,KL867,AMS,KIX,KIX,
44106769,3146700,I-EEZP,A320,ISS2033,IG2033,AUH,,,
44074015,0,,CL30,CL30,,,,,
44124233,7864645,B-HUB,B744,CPA474,CX474,HKG,TPE,TPE,
44106550,7866936,B-KQF,B77W,CXBKQF,,HKG,,,
44106660,11246227,N847HK,E145,LOF3375,,GSO,ORD,ORD,
44106464,10813642,N421QX,DH8D,N421QX,,,,,
44106383,8153016,VH-URU,BE20,URU,,ADL,,,
44106430,,N512UA,B752,UAL448,UA448,LAX,JFK,JFK,
44106373,9003150,A6-ERO,A343,UAE714,EK714,LUN,DXB,DXB,
44106812,8390127,VT-ANE,B788,AIC142,AI142,CDG,DEL,DEL,
44106615,5024357,EI-XLN,B744,TSO571,UN571,VKO,HKT,HKT,
44124245,8389855,VT-ALQ,B77W,AIC102,AI102,JFK,DEL,DEL,
44083996,7864836,B-KPD,B77W,CPA289,CX289,HKG,FRA,FRA,
44106787,8131691,VH-EBH,A332,QFA775,QF775,MEL,PER,PER,
44106649,0,,,,,,,,
44106815,10810267,N418UA,A320,UAL224,UA224,IAD,DEN,DEN,
44106683,7864651,B-HUI,B744,CPA879,CX879,SFO,HKG,HKG,
44122275,434256,A7-ADV,A321,QTR507,QR507,TRV,DOH,DOH,
44106696,7786280,9V-SYH,B773,SIA212,SQ212,SYD,SIN,SIN,
44106653,4344035,VQ-BIA,B744,ABW492,RU492,ICN,SVO,SVO,
44106532,14975227,PT-MVM,A332,TAM9388,JJ9388,GRU,MIA,MIA,
44106657,704688,HK-4553,A319,AVA244,AV244,BOG,JFK,JFK,
44106825,11040920,N645JB,A320,JBU937,B6937,JFK,STI,STI,
44073791,0,,C510,C510,,,,,
44107133,1383731,RA-73011,B752,MOV992,NN992,OSS,DME,DME,
44107235,12708225,-,,SW82,SW82,YYC,,,
44107355,11074985,N679FE,A306,FDX389,,MEM,SNA,SNA,
44107159,9003132,A6-EMS,B773,UAE374,EK374,DXB,BKK,BKK,
44124265,7864544,B-6216,A319,CCA1953,CA1953,WNZ,CKG,CKG,
44122335,0,,GLF5,GLF5,,,,,
44107110,7735473,AP-BEQ,A310,PIA794,PK794,BCN,ISB,ISB,
44107411,12611207,C-GPWG,A320,ACA1204,AC1204,YYZ,MIA,MIA,
44074260,11254380,N855FD,B77F,FDX14,FX14,TPE,MEM,MEM,
44074215,0,,C56X,C56X,,,,,
44106884,11116029,N719FD,A306,FDX3013,FX3013,EWR,LAX,LAX,
44106883,7455272,HL8228,A332,KAL958,KE958,TLV,ICN,ICN,
44106876,11260523,N8609A,B738,SWA446,WN446,SAN,,,
44107349,8131699,VH-EBP,A332,QFA575,QF575,SYD,PER,PER,
44074440,10651124,N2616X,C414,N2616X,,CMA,ACV,ACV,
44107014,5046568,LX-SCV,B744,CLX773,,SEA,YYC,YYC,
44107291,3744357,F-GITF,B744,AFR443,AF443,GIG,CDG,CDG,
44107052,8390450,VT-ANL,B788,AIC116,AI116,LHR,DEL,DEL,
44107177,7454464,HL7700,B772,AAR211,OZ211,SFO,ICN,ICN,
44124253,10595547,N207JQ,E170,,,,,,
44122352,11008793,N613NK,A320,NKS948,NK948,DFW,ORD,ORD,
44107427,262261,ET-AQL,B77L,ETH701,ET701,LHR,ADD,ADD,
44106975,,N829UA,A319,UAL647,UA647,IAD,SFO,SFO,
44107222,10535480,N148UP,A306,UPS328,,SDF,SJU,SJU,
44107339,14692758,LV-CFV,B763,DSM4641,4M4641,LIM,,,
44107246,4963425,TC-OCA,A333,SVA2467,SV2467,IST,JED,JED,
44107405,3761568,F-GZNA,B77W,AFR929,AF929,LAD,CDG,CDG,
44107302,7786061,9V-SRM,B772,SIA826,SQ826,SIN,PVG,PVG,
44107322,7865089,B-6085,A333,CES548,MU548,BKK,PVG,PVG,
44107243,0,,GLEX,GLEX,,,,,
44107362,10834907,N442UP,B752,UPS2940,5X2940,CAE,SJC,SJC,
44107005,7364624,9K-ADE,B744,KAC103,KU103,KWI,LHR,LHR,
44107270,10940429,N546UW,A321,AWE421,US421,PHX,PHL,PHL,
44074270,10833229,N4402T,P28A,N4402T,,PHX,,,
44074584,7866154,B-2437,B744,YZR7478,,,,,
44107284,11003257,N608FE,MD11,FDX568,,MEM,SEA,SEA,
44122359,10919261,N525VA,A319,VRD816,VX816,SFO,PDX,PDX,
44106892,10540843,N153UW,A321,AWE781,US781,PHL,LAX,LAX,
44041591,11079390,N683FE,A306,FDX1295,,BOI,CPR,CPR,
44107055,7799886,4R-ABN,A320,ALK208,UL208,AUH,CMB,CMB,
44107337,9003899,A6-FEJ,B738,FDB562,FZ562,MLE,DXB,DXB,
44106917,11163281,N76505,B738,UAL1668,UA1668,SFO,EWR,EWR,
44107401,262216,ET-AOR,B788,ETH707,ET707,FRA,ADD,ADD,
44074129,3772518,F-HEDG,,FHEDG,,ORY,,,
44107107,4344058,VQ-BBI,B763,SBI859,S7859,OVB,BKK,BKK,
44107351,4344164,VQ-BJX,B738,ORB9630,,,,,
44106949,,N6709,B752,DAL2349,DL2349,ATL,SFO,SFO,
44107425,0,,F900,F900,,,,,
44107316,10786153,N395AN,B763,AAL974,AA974,JFK,,,
44107056,172435,TS-IMT,A320,TAR714,TU714,JED,TUN,TUN,
44107453,0,,FA50,FA50,,,,,
44107273,9003224,A6-EBQ,B77W,UAE20,EK20,MAN,DXB,DXB,
44107987,630820,C5-AAN,B735,TRQ200,,KRT,,,
44107790,8154195,VH-VOL,B738,VOZ677,VA677,MEL,PER,PER,
44074768,52815,,,RV1,RV1,CPT,,,
44107561,9003280,A6-ECI,B77W,UAE405,EK405,SIN,DXB,DXB,
44107906,8389043,VT-AXG,B738,AXB3433,IX3433,CCJ,DXB,DXB,
44107868,9015517,B-16715,B77W,EVA76,BR76,AMS,BKK,BKK,
44107757,4343113,VQ-BOA,A320,SBI811,S7811,DME,TOF,TOF,
44107957,262174,ET-AMK,B752,ETH715,ET715,ARN,ADD,ADD,
44075039,589945,D2-EVW,B737,SOR610,,LAD,,,
44107997,12584270,C-FCAF,B763,ACA29,AC29,YVR,PEK,PEK,
44107949,,N726SK,CRJ7,SKW5585,OO5585,DFW,SFO,SFO,
44107922,7866736,B-2036,B77W,CCA982,CA982,JFK,PEK,PEK,
44107830,9003409,A6-EER,A388,UAE801,EK801,DXB,JED,JED,
44107837,10681089,N291UP,MD11,UPS214,5X214,CGN,,,
44107658,15220825,HC-CLC,A320,LNE1442,XL1442,EZE,,,
44107612,8390237,VT-JBU,B738,JAI561,9W561,SHJ,COK,COK,
44107897,14977791,PR-GUQ,B738,GOL1079,G31079,BSB,CWB,CWB,
44107734,11319635,N919NN,B738,AAL65,AA65,JFK,DFW,DFW,
44075048,4219845,G-GAEA,,GGAEA,,,,,
44122421,7867085,B-9918,A320,CCA946,CA946,KHI,CTU,CTU,
44107774,11368032,N967CG,A332,AVA249,AV249,BOG,GRU,GRU,
44107990,11057587,N661UA,B763,UAL958,UA958,ORD,LHR,LHR,
44107894,5023876,EI-UNT,B772,TSO9827,UN9827,OVB,,,
44107758,45572,ZS-SXV,A332,SAA223,SA223,GRU,JNB,JNB,
44107586,,N11206,B738,UAL1493,UA1493,EWR,LAX,LAX,
44107604,7603493,JY-AIE,A332,RJA268,RJ268,YUL,AMM,AMM,
44107864,11230192,N8309C,B738,SWA627,WN627,BWI,LAS,LAS,
44107526,10529055,N14121,B752,UAL1600,UA1600,EWR,LAX,LAX,
44107555,7866933,B-KQC,B77W,CPA837,CX837,YVR,HKG,HKG,
44107862,5276371,UR-CLT,B763,KHK3402,KH3402,PUJ,,,
44107896,8912962,HS-TEM,A333,THA560,TG560,BKK,HAN,HAN,
44107622,12615601,C-GWJG,B737,WJA665,WS665,YYZ,YYC,YYC,
44107630,14688852,LV-BIT,A343,ARG1377,AR1377,CCS,EZE,EZE,
44117008,11207813,N809NN,B738,AAL2247,AA2247,DFW,SEA,SEA,
44107723,9003713,A6-FDV,B737,FDB558,FZ558,CMB,DXB,DXB,
44107662,10993496,N599FE,MD11,FDX537,FX537,MEM,LAX,LAX,
44107829,7701142,RP-C5319,A320,SRQ8042D,,,,,
44107970,5046533,LX-VCE,B748,CLX765,CV765,BQN,MST,MST,
44107480,15205377,CC-CYF,A319,LPE2111,LP2111,LIM,,,
44078788,7866809,B-5921,A332,CES581,MU581,PVG,YVR,YVR,
44074764,0,,GLF5,GLF5,,,,,
44107695,10985888,N591FE,MD11,FDX3704,FX3704,IND,PDX,PDX,
44107680,10947687,N553UW,A321,AWE483,US483,LAX,CLT,CLT,
44107684,8390220,VT-IEK,A320,IGO68,6E68,DXB,COK,COK,
44075162,9015580,B-18723,B744,CAL5235,CI5235,SEA,TPE,TPE,
44107589,9044965,PK-AZD,A320,AWQ8411,QZ8411,PER,DPS,DPS,
44107710,11376204,N975AV,A332,AVA26,AV26,BOG,MAD,MAD,
44107794,15205422,CC-BDE,B763,LNE517,XL517,MIA,UIO,UIO,
44107460,0,,E50P,E50P,,,,,
44075059,,N528UA,B752,UAL417,UA417,SFO,SAN,SAN,
44122455,434198,A7-ADA,A320,QTR535,QR535,AMD,DOH,DOH,
44107875,3961026,D-ALFB,B77F,GEC8188,LH8188,FRA,ORD,ORD,
44107664,3958024,D-AIHH,A346,DLH712,LH712,FRA,ICN,ICN,
44107815,8145401,VH-OWB,PC12,OWB,,PER,,,
44108402,9006597,-,,CONMOB1,,AUH,,,
44108373,9003033,A6-EKU,A332,UAE722,EK722,NBO,DXB,DXB,
44108285,4738924,PH-HSF,B738,TRA552,,,,,
44108024,7569576,4X-EAP,B763,ELY52,LY52,JNB,TLV,TLV,
44075270,3934794,D-ASXH,B738,SXD18V,,LEJ,SPC,SPC,
44108079,7806976,4R-ADB,A343,ALK282,UL282,JED,CMB,CMB,
44108171,4343115,VQ-BMV,A333,AFL204,SU204,SVO,PEK,PEK,
44108151,262194,ET-ANQ,B77L,ETH500,ET500,ADD,FCO,FCO,
44108112,8790600,JA623A,B763,ANA918,NH918,DEL,NRT,NRT,
44108011,794736,HP-1721CMP,B738,CMP207,CM207,PTY,ASU,ASU,
44108249,131110,CN-RNQ,B737,RAM539C,AT539,CMN,LBV,LBV,
44108453,11325942,N925NN,B738,AAL329,AA329,DFW,SFO,SFO,
44108172,3754520,F-GSQY,B77W,AFR457,AF457,GRU,CDG,CDG,
44108033,0,,GLF4,GLF4,,,,,
44108362,5023584,EI-EFE,B738,RYR278L,FR1883,LIS,STN,STN,
44108115,11028726,N633AW,A320,AWE636,US636,ORD,PHX,PHX,
44075457,0,,C25B,C25B,,,,,
44108068,7864629,B-HND,B772,CPA720D,,KUL,,,
44108494,0,,C750,C750,,,,,
44075669,0,,E135,E135,,,,,
44042536,10837668,N445QX,DH8D,N445QX,,,,,
44108109,9003674,A6-DCA,A332,ETD950,EY950,NBO,AUH,AUH,
44108113,10966951,N572UP,B744,UPS902,5X902,HNL,ONT,ONT,
44117064,11006891,N611NK,A320,NKS678,NK678,RSW,DTW,DTW,
44108255,11219476,N820NN,B738,AAL1585,,SFO,ORD,ORD,
44108051,9003790,A6-ENL,B77W,UAE26,EK26,GLA,DXB,DXB,
44108312,11082539,N686TA,A320,TAI399,TA399,EWR,SAL,SAL,
44108469,11226022,N827JB,A320,JBU416,B6416,SFO,JFK,JFK,
44108097,8389893,VT-JBJ,B738,JAI62,9W62,BOM,BKK,BKK,
44108211,12615605,C-GWJK,B737,WJA424,WS424,YYC,YYZ,YYZ,
44084335,9003333,A6-EHB,A345,ETD873,EY873,ICN,AUH,AUH,
44108153,10695231,N305DQ,B737,DAL680,DL680,UIO,ATL,ATL,
44108275,10691427,N301DQ,B737,DAL919,DL919,SXM,ATL,ATL,
44108504,3958038,D-AIHV,A346,DLH726,LH726,MUC,PVG,PVG,
44108143,11163318,N76517,B738,UAL1560,UA1560,SJO,EWR,EWR,
44122552,7865092,B-6309,A320,9C8815,,,,,
44108488,794772,HP-1833CMP,B738,CMP873,CM873,PTY,GIG,GIG,
44108008,11230538,N831NN,B738,AAL2246,AA2246,PBI,ORD,ORD,
44108054,45575,ZS-SXY,A332,SAA285,SA285,BOM,JNB,JNB,
44108063,7867089,B-5925,A332,CCA967,CA967,PVG,MXP,MXP,
44108019,10776981,N386AA,B763,AAL1549,AA1549,PAP,JFK,JFK,
44108276,131323,CN-RGK,B738,RAM257,AT257,CAI,CMN,CMN,
44108254,12613809,C-GTSI,A332,TSC735,TS735,PUJ,YUL,YUL,
44108250,10487688,N1003U,DC93,N1003U,,,,,
44108482,9015428,B-16108,MD11,EVA607,BR607,ANC,TPE,TPE,
44122542,434242,A7-AEH,A333,QTR557,QR557,BOM,DOH,DOH,
44108408,4735401,PH-HZW,B738,TRA698,HV698,ACE,,,
44108419,10713925,N323UP,B763,UPS2958,5X2958,SDF,MHR,MHR,
44122509,7865420,B-5539,B738,CHH7723,HU7723,SZX,XMN,XMN,
44108040,0,,C25B,C25B,,,,,
44108081,11236244,N837NN,B738,AAL1281,AA1281,BOS,DFW,DFW,
44108157,3744386,F-GIUC,B744,AFR6718,AF6718,CDG,,,
44108310,4686713,LN-RKG,A343,SAS997,SK997,CPH,PVG,PVG,
44075697,8390128,VT-ANG,B788,VTANG,,DEL,,,
44108773,8144152,VH-NXM,B712,QJE1943,QF1943,DRW,GOV,GOV,
44108911,10535985,N149AT,B737,TRS1241,FL1241,PUJ,ATL,ATL,
44123287,10710910,N320NB,A319,DAL893,DL893,BNA,LAX,LAX,
44123214,4895065,SE-LJY,F50,APF57,,,,,
44108574,10794967,N403AS,B739,ASA201,AS201,SJC,SEA,SEA,
44076119,9003290,A6-ECS,B77W,UAE317,EK317,KIX,DXB,DXB,
44108520,10718518,N328NB,A319,DAL8940,,YYZ,DEN,DEN,
44108801,11283762,N884FD,B77F,FDX5279,FX5279,PVG,,,
44108692,11057603,N661US,B744,DAL283,DL283,LAX,NRT,NRT,
44108910,4736231,PH-AOK,A332,KLM417,KL417,DMM,AMS,AMS,
44108529,15205399,CC-BAG,A320,LPE2599,LP2599,CUN,,,
44076160,7569575,4X-EAJ,B763,ELY96,LY96,PEK,TLV,TLV,
44108874,4921467,HB-JHB,A333,SWR147,LX147,DEL,ZRH,ZRH,
44108693,7787085,9V-TRM,A320,TGW2625,TR2625,HYD,SIN,SIN,
44108733,3754479,F-GSPP,B772,AFR521,AF521,CPT,CDG,CDG,
44108636,3960941,D-ALCM,MD11,GEC8453,LH8453,ALA,FRA,FRA,
44108527,434201,A7-ACB,A332,QTR2,QR2,LHR,DOH,DOH,
44108654,,N806UA,A319,UAL367,UA367,SFO,MSY,MSY,
44108922,7785675,9V-SFK,B744,SQC7971,SQ7971,BRU,BLR,BLR,
44108588,4961382,TC-MCF,B734,MNB423,MB423,LEJ,CGN,CGN,
44108530,7569505,4X-EKT,B738,ELY336,LY336,AMS,TLV,TLV,
44046179,7864687,B-HNG,B773,CPA511,CX511,FUK,TPE,TPE,
44108564,4456694,OE-LVD,F100,AUA760J,OS760,SJJ,VIE,VIE,
44075740,10489337,N102UW,A320,AWE1786,US1786,PVD,CLT,CLT,
44108670,10678140,N289AT,B737,TRS98,FL98,CUN,MDW,MDW,
44108566,0,,LJ45,LJ45,,,,,
44108605,10698458,N308UP,B763,UPS238,5X238,STN,,,
44043395,7866735,B-5297,B737,CCA4123,CA4123,CKG,XMN,XMN,
44108849,0,,F900,F900,,,,,
44075770,11129744,N732MD,C208,N732MD,,,,,
44108581,0,,C680,C680,,,,,
44108900,8154207,VH-VOX,B738,VOZ81,VA81,CHC,BNE,BNE,
44108565,8390245,VT-JEL,B77W,JAI121,9W121,LHR,DEL,DEL,
44108984,10753084,N362FE,DC10,FDX3745,FX3745,IND,LAX,LAX,
44108726,7865769,B-2073,B77F,CSN464,CZ464,FRA,PVG,PVG,
44108877,6295748,EP-MNV,A310,IRM83,W583,IKA,KUL,KUL,
44076166,434296,A7-BAK,B77W,QTR901,QR901,PER,DOH,DOH,
44122652,7667973,9M-AFB,A320,AXM1231,AK1231,KUL,TRZ,TRZ,
44076011,0,,C680,C680,,,,,
44122641,9015462,B-18608,B738,CAL118,CI118,TPE,KOJ,KOJ,
44075786,5024243,EI-ISB,B772,AZA784,AZ784,FCO,NRT,NRT,
44108517,794756,HP-1828CMP,B738,CMP283,CM283,PTY,MVD,MVD,
44108817,,N3752,,DAL1206,DL1206,PHX,JFK,JFK,
44108760,9015496,B-16307,A332,EVA61,BR61,BKK,VIE,VIE,
44108747,4344242,VQ-BIW,A320,AFL2383,SU2383,GVA,SVO,SVO,
44123941,9015426,B-16410,B744,EVA707,BR707,TPE,CAN,CAN,
44108689,3416842,EC-JNQ,A346,IBE6400,IB6400,MEX,MAD,MAD,
44043300,11344078,N943FD,B752,FDX1266,,RSW,MEM,MEM,
44108768,434298,A7-BAM,B77W,QTR1366,QR1366,JNB,DOH,DOH,
44108842,8390018,VT-ALS,B77W,AIC127,AI127,DEL,ORD,ORD,
44108756,14978834,PR-TYH,A320,TAM3391,JJ3391,FOR,GRU,GRU,
44108586,11301619,N901AR,B744,CWC420,,,,,
44108612,10548094,N160UP,A306,UPS2925,5X2925,DSM,,,
44108589,10715827,N325UP,B763,UPS2932,5X2932,CAE,ONT,ONT,
44108945,11233099,N834AW,A319,AWE507,US507,PHX,BOS,BOS,
44108848,10900775,N507NK,A319,NKS217,NK217,IAH,LAX,LAX,
44108955,15205421,CC-BDD,B763,LAN601,LA601,LIM,SCL,SCL,
44108967,4342000,VP-BYP,B735,TSO127,UN127,DME,OVB,OVB,
44108845,10896971,N503NK,A319,NKS175,NK175,MSP,LAS,LAS,
44108650,11178785,N78017,B772,UAL1149,UA1149,EWR,SEA,SEA,
44122607,7866850,B-5739,B738,CSN3505,CZ3505,CAN,FOC,FOC,
44108735,4344201,VQ-BEY,B752,UTA5141,UT5141,KUF,,,
44108609,10555256,N168AT,B737,TRS26,FL26,MEX,SNA,SNA,
44108862,8151269,VH-TFB,C441,TFB,,ADL,,,
44108952,,N563UA,B752,UAL452,UA452,EWR,LAS,LAS,
44108536,0,,CL30,CL30,,,,,
44108932,8131697,VH-EBN,A332,QFA574,QF574,PER,SYD,SYD,
44109411,10743307,N352UP,B763,UPS2974,5X2974,SDF,PDX,PDX,
44109276,3772901,F-HEPF,A320,AFR618,AF618,PAP,MIA,MIA,
44109089,9003259,A6-EDZ,A388,A6EDZ,,DXB,,,
44124331,10806525,N414WN,B737,,,,,,
44109120,4976697,FLLME7,GRND,FLLME7,,IST,,,
44109118,3935391,D-ATUG,B738,CJA728,C6728,YYZ,HOG,HOG,
44109275,311361,5Y-KYZ,B772,KQA102,KQ102,NBO,LHR,LHR,
44051664,11086519,N690AA,B752,AAL266,AA266,LIH,LAX,LAX,
44109209,11212328,N813SY,B738,SCX103,SY103,MSP,LAS,LAS,
44109329,11288517,N889FD,B77F,FDX948,,MEM,HNL,HNL,
44109056,12595832,C-FTCX,B738,CJA602,C6602,YQB,,,
44109023,10747599,N357AA,B763,AAL167,AA167,MIA,SFO,SFO,
44109363,3958022,D-AIHF,A346,DLH772,LH772,FRA,BKK,BKK,
44109237,11097574,N700PU,TBM7,N700PU,,DWA,SQL,SQL,
44109414,4195709,G-CIVD,B744,BAW57K,BA57,LHR,JNB,JNB,
44076459,9003397,A6-EEF,A388,UAE204,EK204,JFK,DXB,DXB,
44109102,10912498,N519AV,A319,AVA247,AV247,IAD,BOG,BOG,
44109364,3958184,D-AIMH,A388,DLH463,LH463,MIA,FRA,FRA,
44109400,4217853,G-YMMT,B772,BAW244,BA244,EZE,LHR,LHR,
44109338,4508886,OO-SFV,A333,BEL502,SN502,JFK,BRU,BRU,
44109418,5054498,9H-AEL,A319,AMC572,KM572,MLA,SVO,SVO,
44109253,8131692,VH-EBI,A332,QFA480,QF480,PER,MEL,MEL,
44109167,3951362,D-ABXB,A332,BER7001,AB7001,MIA,DUS,DUS,
44076601,9003402,A6-EEK,A388,UAE435,EK435,BNE,DXB,DXB,
44109368,589912,D2-TED,B772,DTA742,DT742,GIG,LAD,LAD,
44109250,7786223,9V-SWO,B77W,SIA325,SQ325,FRA,SIN,SIN,
44109204,10501251,-,,OPS8,OPS8,DEN,,,
44123228,11219168,N820AE,E135,EGF2849,MQ2849,ORD,BUF,BUF,
44076633,5024504,EI-LNA,B788,NAX7205,DY7205,ARN,BKK,BKK,
44109424,0,,,,,,,,
44076534,0,,LJ60,LJ60,,,,,
44109394,10956396,N562AV,A320,AVA73,AV73,MEX,BOG,BOG,
44123227,11217616,N819AE,E135,EGF2758,MQ2758,DFW,ROW,ROW,
44076382,0,,F2TH,F2TH,,,,,
44109365,7453990,HL7526,B772,KAL20,KE20,SEA,ICN,ICN,
44109398,10920212,N526VA,A319,VRD879,VX879,DFW,LAX,LAX,
44109044,0,,CL60,CL60,,,,,
44109049,10912013,N518VL,A320,VOI935,Y4935,ORD,MEX,MEX,
44076391,7865316,B-6323,A320,CSC8840,3U8840,,,,
44076531,11179082,N781AN,B772,AAL182,AA182,PVG,LAX,LAX,
44076498,10954257,N56RJ,,N56RJ,,OAK,,,
44109017,7786137,9V-STY,A333,SIA255,SQ255,SIN,BNE,BNE,
44122698,7454611,HL7793,A333,AAR1025,OZ1025,GMP,HND,HND,
44109081,0,,,,,,,,
44109257,10763066,N372AA,B763,AAL69,AA69,MIA,SFO,SFO,
44109386,14975605,PR-MHZ,A320,TAM3623,JJ3623,JPA,GIG,GIG,
44109076,0,,C510,C510,,,,,
44122699,8157867,VH-YIL,B738,VOZ4147,VA4147,SYD,DPS,DPS,
44076395,9003230,A6-EBW,B77W,UAE441,EK441,ADL,DXB,DXB,
44109242,10955896,N561UW,A321,AWE895,US895,PHX,ORD,ORD,
44076577,368646,8Q-IAO,DH8C,8QIAO,,,,,
44109016,7604016,JY-AYP,A319,RJA192,RJ192,AMM,DEL,DEL,
44076659,11345371,N944UW,E190,AWE1736,US1736,PVD,PHL,PHL,
44043660,9006779,-,,ELC6,,DXB,,,
44109428,3958036,D-AIHT,A346,DLH730,LH730,MUC,HKG,HKG,
44109269,10666843,N27734,B737,UAL147,UA147,GUM,KIJ,KIJ,
44109233,10671929,N282UP,MD11,UPS2950,,SDF,OAK,OAK,
44109002,3958181,D-AIME,A388,DLH728,LH728,FRA,PVG,PVG,
44122714,5046531,LX-VCA,B748,CLX432,,,,,
44109197,8389510,VT-JEG,B77W,JAI78,9W78,DEL,HKG,HKG,
44109006,,N568UA,B752,UAL257,UA257,JFK,SFO,SFO,
